id,country,location,name,lat,lng
AONZA,AO,NZA,Nzagi,-7.69,21.36
AOPAT,AO,PAT,Palanca Terminal,,
AOPAZ,AO,PAZ,Pazflor FPSO,-8.21,12.06
AOPBN,AO,PBN,Porto Amboim,-10.72,13.75
AOPGI,AO,PGI,Chitato,,
AOPLE,AO,PLE,Porto Alexandre (Tombua),-15.8,11.85
AOPSA,AO,PSA,Porto Saco (Portosalazar),-15.08,12.08
AORSN,AO,RSN,River Sao Nicolau,-14.15,12.2
AOSBT,AO,SBT,Saxi Batuque FPSO,-6.19,11.13
AOSDD,AO,SDD,Lubango,-14.91,13.48
AOSOQ,AO,SOQ,Soyo-Quinfuquena Terminal,,
AOSPP,AO,SPP,Menongue,-14.66,17.68
AOSSY,AO,SSY,M'banza Congo,-6.26,14.24
AOSTC,AO,STC,Santa Clara,-7.22,14.44
AOSTL,AO,STL,Sazaire Terminal,-6.05,12.23
AOSVP,AO,SVP,Kuito,-12.38,16.94
AOSZA,AO,SZA,Soyo,-6.13,12.37
AOTAK,AO,TAK,Takula Terminal,,
AOUAL,AO,UAL,Luau,-10.7,22.22
AOUGO,AO,UGO,Uíge,-7.37,15.03
AOVHC,AO,VHC,Saurimo,-9.65,20.39
AOVNA,AO,VNA,Viana,-8.54,13.22
AOVPE,AO,VPE,Ongiva,,
AOXGN,AO,XGN,Xangongo,-16.74,14.97
AQABA,AQ,ABA,Aboa,-73.03,-13.25
AQAMS,AQ,AMS,Amundsen-Scott,-89.59,139.16
AQAPT,AQ,APT,Arturo Prat,-62.3,-59.41
AQARC,AQ,ARC,Arctowski,-62.09,-58.28
AQART,AQ,ART,Artigas,-62.11,-58.54
AQBEL,AQ,BEL,Belgrano II,-77.52,-34.37
AQBHN,AQ,BHN,Bellingshausen,-62.11,-58.57
AQCAS,AQ,CAS,Casey Station,-66.17,110.31
AQCFZ,AQ,CFZ,Comandante Ferraz,-62.05,-58.23
AQCON,AQ,CON,Concordia,-75.06,123.23
AQDAV,AQ,DAV,Davis Station,-68.34,77.58
AQDDU,AQ,DDU,Dumont d'Urville Station,-66.39,140
AQDMF,AQ,DMF,Dome Fuji,-77.19,39.42
AQDRZ,AQ,DRZ,Druzhnaya 4,-69.44,73.42
AQESC,AQ,ESC,Escudero,-62.12,-58.57
AQESP,AQ,ESP,Esperanza,-63.23,-56.59
AQGDC,AQ,GDC,Gabriel de Castilla,-62.59,-60.41
AQGWL,AQ,GWL,Great Wall,-62.13,-58.58
AQHLY,AQ,HLY,Halley,-75.34,-26.32
AQJBS,AQ,JBS,Jang Bogo Station,-74.36,164.12
AQJCP,AQ,JCP,Juan Carlos Primero,-62.39,-60.23
AQJUB,AQ,JUB,Jubany,-62.14,-58.39
AQKHN,AQ,KHN,Kohnen,-75,0.04
AQKSG,AQ,KSG,King Sejong,-62.13,-58.47
AQLAW,AQ,LAW,Law Base,-69.23,76.23
AQMAW,AQ,MAW,Mawson Station,-67.36,62.52
AQMCM,AQ,MCM,McMurdo,-77.5,166.4
AQMIR,AQ,MIR,Mirny,-66.33,93
AQMRB,AQ,MRB,Marambio,-64.14,-56.39
AQMTR,AQ,MTR,Maitri,-70.45,11.44
AQMZU,AQ,MZU,Mario Zucchelli,-74.41,164.07
AQNEU,AQ,NEU,Neumayer,-70.38,-8.15
AQNOV,AQ,NOV,Novolazarevskaya,-70.46,11.51
AQOHG,AQ,OHG,General Bernardo O'higgins,-63.19,-57.54
AQORC,AQ,ORC,Orcadas,-60.44,-44.44
AQPFS,AQ,PFS,Port Foster,-63,-60.34
AQPLM,AQ,PLM,Palmer,-64.46,-64.03
AQPRO,AQ,PRO,Progress,-69.24,76.23
AQROT,AQ,ROT,Rothera,-67.34,-68.07
AQSBA,AQ,SBA,Scott Base,-77.51,166.45
AQSGN,AQ,SGN,Signy,-60.43,-45.36
AQSMT,AQ,SMT,San Martín,-68.07,-67.06
AQSNA,AQ,SNA,SANAE IV,-71.4,-2.49
AQSYW,AQ,SYW,Syowa,-69,39.35
AQTNM,AQ,TNM,Teniente R. Marsh,-62.13,-58.55
AQTOR,AQ,TOR,Tor,-71.53,5.09
AQTRL,AQ,TRL,Troll,-72,2.32
AQVKY,AQ,VKY,Vernadsky,-65.14,-64.15
AQVOS,AQ,VOS,Vostok,-78.28,106.48
AQWSA,AQ,WSA,Wasa,-73.03,-13.25
AQZGN,AQ,ZGN,Zhongshan,-69.22,76.23
ARABA,AR,ABA,Abasto,-34.58,-58.05
ARAC5,AR,AC5,Acheral,-27.07,-65.27
ARACA,AR,ACA,Acaraguá,-27.28,-55.07
ARACF,AR,ACF,Arrecifes,-34.05,-60.07
ARACS,AR,ACS,Acassuso,-34.29,-58.31
ARADC,AR,ADC,Andacollo,-37.11,-70.41
ARADS,AR,ADS,Alderetes,-26.49,-65.08
ARADV,AR,ADV,Del Viso,-34.27,-58.48
ARAEA,AR,AEA,Aldea Escolar,-43.08,-71.33
ARAEP,AR,AEP,Jorge Newbury Apt/Buenos Aires,,
ARAFA,AR,AFA,San Rafael,-34.61,-68.33
ARAGS,AR,AGS,Aguilares,-27.26,-65.37
ARAIM,AR,AIM,Aimogasta,-28.43,-66.49
ARALE,AR,ALE,Almafuerte,-32.12,-64.15
ARALI,AR,ALI,Alberti,-35.02,-60.17
ARALL,AR,ALL,Allen,-38.59,-67.49
ARALN,AR,ALN,Albardón,-31.26,-68.31
ARALO,AR,ALO,Añelo,-38.21,-68.47
ARALS,AR,ALS,Alsina,-33.54,-59.23
ARALZ,AR,ALZ,Alvarez,-33.07,-60.48
ARAMA,AR,AMA,Adelia María,-33.37,-64.02
ARAMG,AR,AMG,Monte Grand,-34.49,-58.28
ARANA,AR,ANA,Añatuya,-28.28,-62.5
ARANC,AR,ANC,Ancón,-35.34,-61.51
ARAND,AR,AND,Andalgalá,-27.36,-66.19
ARANO,AR,ANO,Angaco,-31.13,-68.02
ARAOL,AR,AOL,Paso de los Libres,-29.71,-57.08
ARAPO,AR,APO,Apostoles,-27.55,-55.46
ARAPZ,AR,APZ,Zapala,-38.9,-70.06
ARARG,AR,ARG,Armstrong,-32.46,-61.36
ARARI,AR,ARI,Arias,-33.38,-62.25
ARARN,AR,ARN,Aranguren,-32.14,-60.09
ARARR,AR,ARR,Alto Río Senguerr,-45.02,-70.5
ARASA,AR,ASA,Apolinario Saravia,-24.25,-64.02
ARASL,AR,ASL,Alto de Sierra,-31.31,-68.25
ARASO,AR,ASO,Arroyo Seco,-33.08,-60.26
ARAST,AR,AST,Asturias,-36.1,-61.53
ARATU,AR,ATU,Atucha,-33.98,-59.28
ARAVD,AR,AVD,Acevedo,-33.44,-60.27
ARAVE,AR,AVE,Avellaneda,-34.39,-58.22
ARAVO,AR,AVO,Aristóbulo del Valle,-27.07,-54.55
ARAVR,AR,AVR,Alvear,-33.4,-60.37
ARAVS,AR,AVS,Avellaneda,-29.06,-59.39
ARAYO,AR,AYO,Arroyito,-31.25,-63.03
ARAZU,AR,AZU,Azul,-36.47,-59.52
ARBAD,AR,BAD,Banfield,-34.45,-58.24
ARBAJ,AR,BAJ,Bajo Grande,-30.34,-66.09
ARBAL,AR,BAL,Barreal,-31.38,-69.28
ARBAR,AR,BAR,Baradero,-33.47,-59.31
ARBAS,AR,BAS,Barrancas,-33.6,-68.43
ARBCA,AR,BCA,Balcarce,-37.5,-58.15
ARBDE,AR,BDE,Belén de Escobar,-34.2,-58.49
ARBDR,AR,BDR,Banda del Río Salí,-26.5,-65.1
ARBEA,AR,BEA,Bengolea,-33.02,-63.41
ARBEC,AR,BEC,Beccar,-34.46,-58.54
ARBEL,AR,BEL,Bella Vista,-34.33,-58.41
ARBER,AR,BER,Berazategui,-34.44,-58.15
ARBES,AR,BES,Ballesteros,-32.32,-62.58
ARBGO,AR,BGO,Bragado,-35.07,-60.3
ARBHI,AR,BHI,Bahía Blanca,-38.43,-62.17
ARBHO,AR,BHO,Bajo Hondo,-38.46,-61.54
ARBJR,AR,BJR,Benito Juarez,-37.4,-59.48
ARBMS,AR,BMS,Barrio Marquez de Sobremonte,-31.23,-64.1
ARBOL,AR,BOL,Bombal,-33.27,-61.2
ARBON,AR,BON,Bowen,-35,-67.31
ARBOU,AR,BOU,Boulogne,-34.3,-58.34
ARBQS,AR,BQS,Barranqueras,-27.48,-58.93
ARBRC,AR,BRC,San Carlos de Bariloche,-41.09,-71.18
ARBRD,AR,BRD,Brandsen,-35.1,-58.14
ARBRN,AR,BRN,Bernal,-34.43,-38.15
ARBSB,AR,BSB,Bahia San Blas,-40.33,-62.15
ARBTN,AR,BTN,Barrio Batan,-38,-57.42
ARBUE,AR,BUE,Buenos Aires,-34.35,-58.4
ARBUI,AR,BUI,Ingeniero Buitrago,-33.21,-60.08
ARBUR,AR,BUR,Burzaco,-34.49,-34.49
ARBUU,AR,BUU,Burruyacú,-26.3,-64.45
ARBVA,AR,BVA,Bella Vista,-27.02,-65.18
ARBVC,AR,BVC,Bella Vista,-28.3,-59.03
ARBVL,AR,BVL,Bell Ville,-32.37,-62.42
ARBVZ,AR,BVZ,Benavidez,-34.24,-58.42
ARCAA,AR,CAA,Carcaraña,-32.51,-61.09
ARCAB,AR,CAB,Caballito,-34.37,-58.27
ARCAE,AR,CAE,Canuelas,-35.02,-58.44
ARCAL,AR,CAL,Cerro Azul,-27.38,-55.29
ARCAN,AR,CAN,Carmen de Areco,-34.23,-59.49
ARCAO,AR,CAO,Carnerillo,-32.55,-64.02
ARCAS,AR,CAS,Calabacillas,-31.3,-58.08
ARCAT,AR,CAT,Catinzaco,-29.4,-67.23
ARCAZ,AR,CAZ,Cruz Alta,-33,-61.48
ARCBS,AR,CBS,Chimbas,-31.29,-68.32
ARCBZ,AR,CBZ,Capitan Bermudez,-32.49,-60.43
ARCCB,AR,CCB,Carlos Casares,-35.37,-61.21
ARCCO,AR,CCO,Chacabuco,-34.38,-60.28
ARCCP,AR,CCP,Conceptión,-27.2,-65.35
ARCCT,AR,CCT,Colonia Catriel,,
ARCDA,AR,CDA,Costa de Araujo,-32.45,-68.25
ARCDC,AR,CDC,Chacras De Coria,-33,-68.52
ARCDE,AR,CDE,Cruz del Eje,-30.44,-64.48
ARCDL,AR,CDL,Candelaria,-27.27,-55.45
ARCDN,AR,CDN,Carmen Del Sauce,-33.14,-60.48
ARCDP,AR,CDP,Cruz De Piedra,-33.02,-68.48
ARCDS,AR,CDS,Capilla del Señor,-34.18,-59.06
ARCEN,AR,CEN,Centenario,-35.5,-61.26
ARCEO,AR,CEO,Crespo,-32.02,-60.19
ARCFY,AR,CFY,Cafayate,-26.04,-65.58
ARCGA,AR,CGA,Cañada de Gómez,-32.49,-61.24
ARCGO,AR,CGO,Campo Grande,-27.13,-54.58
ARCHA,AR,CHA,Chajarí,-30.46,-57.59
ARCHL,AR,CHL,Choele Choel,-39.29,-65.65
ARCHO,AR,CHO,Chilecito,-29.1,-67.3
ARCHS,AR,CHS,Chascomus,-35.34,-58.01
ARCIU,AR,CIU,Ciudadela,-34.37,-58.32
ARCLC,AR,CLC,Caleta Córdoba,-45.44,-67.04
ARCLN,AR,CLN,Classon,-32.27,-61.17
ARCLO,AR,CLO,Campo Largo,-26.48,-60.5
ARCLX,AR,CLX,Clorinda,-25.28,-57.72
ARCMG,AR,CMG,Contralmirante Martín Guerrico,-39.01,-67.44
ARCMP,AR,CMP,Campana,-34.09,-58.57
ARCNL,AR,CNL,Canals,-33.33,-62.53
ARCNN,AR,CNN,Canning,-34.52,-58.31
ARCNO,AR,CNO,Cuadro Nacional,-34.37,-68.17
ARCNQ,AR,CNQ,Corrientes,-27.46,-58.83
ARCNT,AR,CNT,Charata,-27.21,-61.18
ARCOA,AR,COA,Coronda,-31.58,-60.55
ARCOC,AR,COC,Concordia,-31.39,-58.01
ARCOL,AR,COL,Colón,-32.13,-58.08
ARCOM,AR,COM,Las Compuertas,-33.02,-68.59
ARCON,AR,CON,Concepción,-28.23,-57.53
ARCOO,AR,COO,Colón,-33.53,-61.07
ARCOR,AR,COR,Córdoba,-31.24,-64.11
